Date,Adj Close (^DJI),Volume (^DJI)
1/2/2018,24824.00977,341130000
1/3/2018,24922.67969,456790000
1/4/2018,25075.13086,403280000
1/5/2018,25295.86914,358020000
1/8/2018,25283,341390000
1/9/2018,25385.80078,333490000
1/10/2018,25369.13086,341470000
1/11/2018,25574.73047,346830000
1/12/2018,25803.18945,376390000
1/16/2018,25792.85938,606520000
1/17/2018,26115.65039,522720000
1/18/2018,26017.81055,492780000
1/19/2018,26071.7207,585000000
1/22/2018,26214.59961,431200000
1/23/2018,26210.81055,433490000
1/24/2018,26252.11914,518790000
1/25/2018,26392.78906,401390000
1/26/2018,26616.71094,477780000
1/29/2018,26439.48047,421000000
1/30/2018,26076.89063,448330000
1/31/2018,26149.39063,479130000
2/1/2018,26186.71094,410620000
2/2/2018,25520.96094,522880000
2/5/2018,24345.75,714450000
2/6/2018,24912.76953,823940000
2/7/2018,24893.34961,504620000
2/8/2018,23860.46094,657500000
2/9/2018,24190.90039,735030000
2/12/2018,24601.26953,496610000
2/13/2018,24640.44922,374410000
2/14/2018,24893.49023,431160000
2/15/2018,25200.36914,416780000
2/16/2018,25219.38086,406730000
2/20/2018,24964.75,421510000
2/21/2018,24797.7793,456070000
2/22/2018,24962.48047,378900000
2/23/2018,25309.99023,335420000
2/26/2018,25709.26953,473360000
2/27/2018,25410.0293,438390000
2/28/2018,25029.19922,451870000
3/1/2018,24608.98047,506280000
3/2/2018,24538.06055,437130000
3/5/2018,24874.75977,383910000
3/6/2018,24884.11914,331770000
3/7/2018,24801.35938,394070000
3/8/2018,24895.21094,327300000
3/9/2018,25335.74023,371570000
3/12/2018,25178.60938,362580000
3/13/2018,25007.0293,447880000
3/14/2018,24758.11914,356830000
3/15/2018,24873.66016,316310000
3/16/2018,24946.50977,654240000
3/19/2018,24610.91016,377990000
3/20/2018,24727.26953,342510000
3/21/2018,24682.31055,343230000
3/22/2018,23957.89063,439280000
3/23/2018,23533.19922,482550000
3/26/2018,24202.59961,479540000
3/27/2018,23857.71094,524480000
3/28/2018,23848.41992,530040000
3/29/2018,24103.10938,463550000
4/2/2018,23644.18945,509820000
4/3/2018,24033.35938,394130000
4/4/2018,24264.30078,388540000
4/5/2018,24505.2207,347790000
4/6/2018,23932.75977,395990000
4/9/2018,23979.09961,380790000
4/10/2018,24408,368590000
4/11/2018,24189.44922,286360000
4/12/2018,24483.05078,336130000
4/13/2018,24360.14063,331890000
4/16/2018,24573.03906,305070000
4/17/2018,24786.63086,342410000
4/18/2018,24748.07031,302030000
4/19/2018,24664.89063,381110000
4/20/2018,24462.93945,537770000
4/23/2018,24448.68945,351030000
4/24/2018,24024.13086,468180000
4/25/2018,24083.83008,437100000
4/26/2018,24322.33984,390360000
4/27/2018,24311.18945,392810000
4/30/2018,24163.15039,416650000
5/1/2018,24099.05078,380070000
