Date,Adj Close (^GSPC),Volume (^GSPC)
1/2/2018,2695.810059,3367250000
1/3/2018,2713.060059,3538660000
1/4/2018,2723.98999,3695260000
1/5/2018,2743.149902,3236620000
1/8/2018,2747.709961,3242650000
1/9/2018,2751.290039,3453480000
1/10/2018,2748.22998,3576350000
1/11/2018,2767.560059,3641320000
1/12/2018,2786.23999,3573970000
1/16/2018,2776.419922,4325970000
1/17/2018,2802.560059,3778050000
1/18/2018,2798.030029,3681470000
1/19/2018,2810.300049,3639430000
1/22/2018,2832.969971,3471780000
1/23/2018,2839.129883,3519650000
1/24/2018,2837.540039,4014070000
1/25/2018,2839.25,3835150000
1/26/2018,2872.870117,3443230000
1/29/2018,2853.530029,3573830000
1/30/2018,2822.429932,3990650000
1/31/2018,2823.810059,4261280000
2/1/2018,2821.97998,3938450000
2/2/2018,2762.129883,4301130000
2/5/2018,2648.939941,5283460000
2/6/2018,2695.139893,5891660000
2/7/2018,2681.659912,4626570000
2/8/2018,2581,5305440000
2/9/2018,2619.550049,5680070000
2/12/2018,2656,4055790000
2/13/2018,2662.939941,3472870000
2/14/2018,2698.629883,4003740000
2/15/2018,2731.199951,3684910000
2/16/2018,2732.219971,3637460000
2/20/2018,2716.26001,3627610000
2/21/2018,2701.330078,3779400000
2/22/2018,2703.959961,3701270000
2/23/2018,2747.300049,3189190000
2/26/2018,2779.600098,3424650000
2/27/2018,2744.280029,3745080000
2/28/2018,2713.830078,4230660000
3/1/2018,2677.669922,4503970000
3/2/2018,2691.25,3882450000
3/5/2018,2720.939941,3710810000
3/6/2018,2728.120117,3370690000
3/7/2018,2726.800049,3393270000
3/8/2018,2738.969971,3212320000
3/9/2018,2786.570068,3364100000
3/12/2018,2783.02002,3185020000
3/13/2018,2765.310059,3301650000
3/14/2018,2749.47998,3391360000
3/15/2018,2747.330078,3500330000
3/16/2018,2752.01001,5372340000
3/19/2018,2712.919922,3302130000
3/20/2018,2716.939941,3261030000
3/21/2018,2711.929932,3415510000
3/22/2018,2643.689941,3739800000
3/23/2018,2588.26001,3815080000
3/26/2018,2658.550049,3511100000
3/27/2018,2612.620117,3706350000
3/28/2018,2605,3864500000
3/29/2018,2640.870117,3565990000
4/2/2018,2581.879883,3598520000
4/3/2018,2614.449951,3392810000
4/4/2018,2644.689941,3350340000
4/5/2018,2662.840088,3178970000
4/6/2018,2604.469971,3299700000
4/9/2018,2613.159912,3062960000
4/10/2018,2656.870117,3543930000
4/11/2018,2642.189941,3020760000
4/12/2018,2663.98999,3021320000
4/13/2018,2656.300049,2960910000
4/16/2018,2677.840088,3019700000
4/17/2018,2706.389893,3234360000
4/18/2018,2708.639893,3383410000
4/19/2018,2693.129883,3349370000
4/20/2018,2670.139893,3388590000
4/23/2018,2670.290039,3017480000
4/24/2018,2634.560059,3706740000
4/25/2018,2639.399902,3499440000
4/26/2018,2666.939941,3665720000
4/27/2018,2669.909912,3219030000
4/30/2018,2648.050049,3734530000
5/1/2018,2654.800049,3559850000
5/2/2018,2635.669922,4010770000
5/3/2018,2629.72998,3851470000
5/4/2018,2663.419922,3327220000
5/7/2018,2672.629883,3237960000
5/8/2018,2671.919922,3717570000
5/9/2018,2697.790039,3909500000
5/10/2018,2723.070068,3333050000
5/11/2018,2727.719971,2862700000
5/14/2018,2730.129883,2972660000
5/15/2018,2711.449951,3290680000
5/16/2018,2722.459961,3202670000
5/17/2018,2720.129883,3475400000
5/18/2018,2712.969971,3368690000
5/21/2018,2733.01001,3019890000
5/22/2018,2724.439941,3366310000
5/23/2018,2733.290039,3326290000
5/24/2018,2727.76001,3256030000
5/25/2018,2721.330078,2995260000
5/29/2018,2689.860107,3736890000
5/30/2018,2724.01001,3561050000
5/31/2018,2705.27002,4235370000
6/1/2018,2734.620117,3684130000
6/4/2018,2746.870117,3376510000
6/5/2018,2748.800049,3517790000
6/6/2018,2772.350098,3651640000
6/7/2018,2770.370117,3711330000
6/8/2018,2779.030029,3123210000
6/11/2018,2782,3232330000
6/12/2018,2786.850098,3401010000
6/13/2018,2775.629883,3779230000
6/14/2018,2782.48999,3526890000
6/15/2018,2779.659912,5428790000
6/18/2018,2773.75,3287150000
6/19/2018,2762.590088,3661470000
6/20/2018,2767.320068,3327600000
6/21/2018,2749.76001,3300060000
6/22/2018,2754.879883,5450550000
6/25/2018,2717.070068,3655080000
6/26/2018,2723.060059,3555090000
6/27/2018,2699.629883,3776090000
6/28/2018,2716.310059,3428140000
6/29/2018,2718.370117,3565620000
7/2/2018,2726.709961,3073650000
7/3/2018,2713.219971,1911470000
7/5/2018,2736.610107,2953420000
7/6/2018,2759.820068,2554780000
7/9/2018,2784.169922,3050040000
7/10/2018,2793.840088,3063850000
7/11/2018,2774.02002,2964740000
7/12/2018,2798.290039,2821690000
7/13/2018,2801.310059,2614000000
7/16/2018,2798.429932,2812230000
7/17/2018,2809.550049,3050730000
7/18/2018,2815.620117,3089780000
7/19/2018,2804.48999,3266700000
7/20/2018,2801.830078,3230210000
7/23/2018,2806.97998,2907430000
7/24/2018,2820.399902,3417530000
7/25/2018,2846.070068,3553010000
7/26/2018,2837.439941,3653330000
7/27/2018,2818.820068,3415710000
7/30/2018,2802.600098,3245770000
7/31/2018,2816.290039,3892100000
8/1/2018,2813.360107,3496990000
8/2/2018,2827.219971,3467380000
8/3/2018,2840.350098,3030390000
8/6/2018,2850.399902,2874540000
8/7/2018,2858.449951,3162770000
8/8/2018,2857.699951,2972200000
8/9/2018,2853.580078,3047050000
8/10/2018,2833.280029,3256040000
8/13/2018,2821.929932,3158450000
8/14/2018,2839.959961,2976970000
8/15/2018,2818.370117,3645070000
8/16/2018,2840.689941,3219880000
8/17/2018,2850.129883,3024100000
8/20/2018,2857.050049,2748020000
8/21/2018,2862.959961,3147140000
8/22/2018,2861.820068,2689560000
8/23/2018,2856.97998,2713910000
8/24/2018,2874.689941,2596190000
8/27/2018,2896.73999,2854080000
8/28/2018,2897.52002,2683190000
8/29/2018,2914.040039,2791860000
8/30/2018,2901.129883,2802180000
8/31/2018,2901.52002,2880260000
9/4/2018,2896.719971,3077060000
9/5/2018,2888.600098,3241250000
9/6/2018,2878.050049,3139590000
9/7/2018,2871.679932,2946270000
9/10/2018,2877.129883,2731400000
9/11/2018,2887.889893,2899660000
9/12/2018,2888.919922,3264930000
9/13/2018,2904.179932,3254930000
9/14/2018,2904.97998,3149800000
9/17/2018,2888.800049,2947760000
9/18/2018,2904.310059,3074610000
9/19/2018,2907.949951,3280020000
9/20/2018,2930.75,3337730000
9/21/2018,2929.669922,5607610000
9/24/2018,2919.370117,3372210000
9/25/2018,2915.560059,3285480000
9/26/2018,2905.969971,3388620000
9/27/2018,2914,3060850000
9/28/2018,2913.97998,3432300000
10/1/2018,2924.590088,3364190000
10/2/2018,2923.429932,3401880000
10/3/2018,2925.51001,3598710000
