stfips,areatype,area,periodyear,periodtype,period,spdate,spvalue
00,00,000000,2019,68,107,2019-04-17T00:00:00,2900.45
00,00,000000,2019,68,108,2019-04-18T00:00:00,2905.03
00,00,000000,2019,68,112,2019-04-22T00:00:00,2907.97
00,00,000000,2019,68,113,2019-04-23T00:00:00,2933.68
00,00,000000,2019,68,114,2019-04-24T00:00:00,2927.25
00,00,000000,2019,68,115,2019-04-25T00:00:00,2926.17
00,00,000000,2019,68,116,2019-04-26T00:00:00,2939.88
00,00,000000,2019,68,119,2019-04-29T00:00:00,2943.03
00,00,000000,2019,68,120,2019-04-30T00:00:00,2945.83
00,00,000000,2019,68,121,2019-05-01T00:00:00,2923.73
00,00,000000,2019,68,122,2019-05-02T00:00:00,2917.52
00,00,000000,2019,68,123,2019-05-03T00:00:00,2945.64
00,00,000000,2019,68,126,2019-05-06T00:00:00,2932.47
00,00,000000,2019,68,127,2019-05-07T00:00:00,2884.05
00,00,000000,2019,68,128,2019-05-08T00:00:00,2879.42
00,00,000000,2019,68,129,2019-05-09T00:00:00,2870.72
00,00,000000,2019,68,130,2019-05-10T00:00:00,2881.4
00,00,000000,2019,68,133,2019-05-13T00:00:00,2811.87
00,00,000000,2019,68,134,2019-05-14T00:00:00,2834.41
00,00,000000,2019,68,135,2019-05-15T00:00:00,2850.96
00,00,000000,2019,68,136,2019-05-16T00:00:00,2876.32
00,00,000000,2019,68,137,2019-05-17T00:00:00,2859.53
00,00,000000,2019,68,140,2019-05-20T00:00:00,2840.23
00,00,000000,2019,68,141,2019-05-21T00:00:00,2864.36
00,00,000000,2019,68,142,2019-05-22T00:00:00,2856.27
00,00,000000,2019,68,143,2019-05-23T00:00:00,2822.24
00,00,000000,2019,68,144,2019-05-24T00:00:00,2826.06
00,00,000000,2019,68,148,2019-05-28T00:00:00,2802.39
00,00,000000,2019,68,149,2019-05-29T00:00:00,2783.02
00,00,000000,2019,68,150,2019-05-30T00:00:00,2788.86
00,00,000000,2019,68,151,2019-05-31T00:00:00,2752.06
00,00,000000,2019,68,154,2019-06-03T00:00:00,2744.45
00,00,000000,2019,68,155,2019-06-04T00:00:00,2803.27
00,00,000000,2019,68,156,2019-06-05T00:00:00,2826.15
00,00,000000,2019,68,157,2019-06-06T00:00:00,2843.49
00,00,000000,2019,68,158,2019-06-07T00:00:00,2873.34
00,00,000000,2019,68,161,2019-06-10T00:00:00,2886.73
00,00,000000,2019,68,162,2019-06-11T00:00:00,2885.72
00,00,000000,2019,68,163,2019-06-12T00:00:00,2879.84
00,00,000000,2019,68,164,2019-06-13T00:00:00,2891.64
00,00,000000,2019,68,165,2019-06-14T00:00:00,2886.98
00,00,000000,2019,68,168,2019-06-17T00:00:00,2889.67
00,00,000000,2019,68,169,2019-06-18T00:00:00,2917.75
00,00,000000,2019,68,170,2019-06-19T00:00:00,2926.46
00,00,000000,2019,68,171,2019-06-20T00:00:00,2954.18
00,00,000000,2019,68,172,2019-06-21T00:00:00,2950.46
00,00,000000,2019,68,175,2019-06-24T00:00:00,2945.35
00,00,000000,2019,68,176,2019-06-25T00:00:00,2917.38
00,00,000000,2019,68,177,2019-06-26T00:00:00,2913.78
00,00,000000,2019,68,178,2019-06-27T00:00:00,2924.92
00,00,000000,2019,68,179,2019-06-28T00:00:00,2941.76
00,00,000000,2019,68,182,2019-07-01T00:00:00,2964.33
00,00,000000,2019,68,183,2019-07-02T00:00:00,2973.01
00,00,000000,2019,68,184,2019-07-03T00:00:00,2995.82
00,00,000000,2019,68,186,2019-07-05T00:00:00,2990.41
00,00,000000,2019,68,189,2019-07-08T00:00:00,2975.95
00,00,000000,2019,68,190,2019-07-09T00:00:00,2979.63
00,00,000000,2019,68,191,2019-07-10T00:00:00,2993.07
00,00,000000,2019,68,192,2019-07-11T00:00:00,2999.91
00,00,000000,2019,68,193,2019-07-12T00:00:00,3013.77
00,00,000000,2019,68,196,2019-07-15T00:00:00,3014.3
00,00,000000,2019,68,197,2019-07-16T00:00:00,3004.04
00,00,000000,2019,68,198,2019-07-17T00:00:00,2984.42
00,00,000000,2019,68,199,2019-07-18T00:00:00,2995.11
00,00,000000,2019,68,200,2019-07-19T00:00:00,2976.61
00,00,000000,2019,68,203,2019-07-22T00:00:00,2985.03
00,00,000000,2019,68,204,2019-07-23T00:00:00,3005.47
00,00,000000,2019,68,205,2019-07-24T00:00:00,3019.56
00,00,000000,2019,68,206,2019-07-25T00:00:00,3003.67
00,00,000000,2019,68,207,2019-07-26T00:00:00,3025.86
00,00,000000,2019,68,210,2019-07-29T00:00:00,3020.97
00,00,000000,2019,68,211,2019-07-30T00:00:00,3013.18
00,00,000000,2019,68,212,2019-07-31T00:00:00,2980.38
00,00,000000,2019,68,213,2019-08-01T00:00:00,2953.56
00,00,000000,2019,68,214,2019-08-02T00:00:00,2932.05
00,00,000000,2019,68,217,2019-08-05T00:00:00,2844.74
00,00,000000,2019,68,218,2019-08-06T00:00:00,2881.77
00,00,000000,2019,68,219,2019-08-07T00:00:00,2883.98
00,00,000000,2019,68,220,2019-08-08T00:00:00,2938.09
00,00,000000,2019,68,221,2019-08-09T00:00:00,2918.65
00,00,000000,2019,68,224,2019-08-12T00:00:00,2883.75
00,00,000000,2019,68,225,2019-08-13T00:00:00,2926.32
00,00,000000,2019,68,226,2019-08-14T00:00:00,2840.6
