stfips,areatype,area,periodyear,periodtype,period,rate
00,00,000000,2019,03,01,5.5
00,00,000000,2019,03,02,5.5
00,00,000000,2019,03,03,5.5
00,00,000000,2019,03,04,5.5
00,00,000000,2019,03,05,5.5
00,00,000000,2019,03,06,5.5
00,00,000000,2019,03,07,5.5
00,00,000000,2019,03,08,5.25
00,00,000000,2019,03,09,5.15
00,00,000000,2019,03,10,4.99
00,00,000000,2019,03,11,4.75
00,00,000000,2019,03,12,4.75
00,00,000000,2020,03,01,4.75
00,00,000000,2020,03,02,4.75
