Date,Adj Close (^W5000),Volume (^W5000)
1/2/2019,25794.7207,0
1/3/2019,25200.50977,0
1/4/2019,26080.80078,0
1/7/2019,26331.38086,0
1/8/2019,26613.78906,0
1/9/2019,26741.41016,0
1/10/2019,26853.7207,0
1/11/2019,26855.23047,0
1/14/2019,26697.68945,0
1/15/2019,26979.59961,0
1/16/2019,27059.56055,0
1/17/2019,27266.44922,0
1/18/2019,27617.2793,0
1/22/2019,27214.48047,0
1/23/2019,27256.94922,0
1/24/2019,27323.83008,0
1/25/2019,27580.24023,0
1/28/2019,27384.11914,0
1/29/2019,27336.81055,0
1/30/2019,27741.53906,0
1/31/2019,27992.41016,0
2/1/2019,28026.69922,0
2/4/2019,28232.81055,0
2/5/2019,28362.58984,0
2/6/2019,28292.56055,0
2/7/2019,28038.61914,0
2/8/2019,28056.58008,0
2/11/2019,28103.91992,0
2/12/2019,28462.49023,0
2/13/2019,28548.5293,0
2/14/2019,28493.25977,0
2/15/2019,28804.28906,0
2/19/2019,28862.42969,0
2/20/2019,28905.49023,0
2/21/2019,28799.30078,0
2/22/2019,28986.28906,0
2/25/2019,29021.31055,0
2/26/2019,28970.36914,0
2/27/2019,28990.7207,0
2/28/2019,28903.30078,0
3/1/2019,29102.58984,0
3/4/2019,28963.16992,0
3/5/2019,28923.10938,0
3/6/2019,28686.55078,0
3/7/2019,28463,0
3/8/2019,28402.18945,0
3/11/2019,28828.74023,0
3/12/2019,28905.08984,0
3/13/2019,29095.58008,0
3/14/2019,29064.42969,0
3/15/2019,29193.75,0
3/18/2019,29322.71094,0
3/19/2019,29297.55078,0
3/20/2019,29200.55078,0
3/21/2019,29530.24023,0
3/22/2019,28909.55078,0
3/25/2019,28891.56055,0
3/26/2019,29110.69922,0
3/27/2019,28967.78906,0
3/28/2019,29083.83008,0
3/29/2019,29266.91016,0
4/1/2019,29607.42969,0
4/2/2019,29565.16992,0
4/3/2019,29680.51953,0
4/4/2019,29727.23047,0
4/5/2019,29887.03906,0
4/8/2019,29908.90039,0
4/9/2019,29710.98047,0
4/10/2019,29860.76953,0
4/11/2019,29866.00977,0
4/12/2019,30059.93945,0
4/15/2019,30030.55078,0
4/16/2019,30047.66016,0
4/17/2019,29943.64063,0
4/18/2019,29981.13086,0
4/22/2019,30010.0293,0
4/23/2019,30300.71094,0
4/24/2019,30247.30078,0
4/25/2019,30208.63086,0
4/26/2019,30371.11914,0
4/29/2019,30415.55078,0
4/30/2019,30410.01953,0
5/1/2019,30181,0
5/2/2019,30127.5,0
5/3/2019,30460.58984,0
5/6/2019,30343.69922,0
5/7/2019,29837.11914,0
5/8/2019,29779.39063,0
5/9/2019,29694.40039,0
5/10/2019,29801.59961,0
5/13/2019,29041.40039,0
5/14/2019,29299.99023,0
5/15/2019,29471.33984,0
5/16/2019,29729.88086,0
5/17/2019,29521.59961,0
5/20/2019,29318.08008,0
5/21/2019,29586.84961,0
5/22/2019,29476.82031,0
5/23/2019,29081.57031,0
5/24/2019,29147.58984,0
5/28/2019,28918.91992,0
5/29/2019,28710.15039,0
5/30/2019,28748.31055,0
5/31/2019,28369.39063,0
6/3/2019,28258.67969,0
6/4/2019,28904.91992,0
6/5/2019,29101.18945,0
6/6/2019,29249.82031,0
6/7/2019,29545.53906,0
6/10/2019,29698.69922,0
6/11/2019,29674.55078,0
6/12/2019,29622.08984,0
6/13/2019,29763.59961,0
6/14/2019,29684.75,0
6/17/2019,29735.38086,0
6/18/2019,30028.66992,0
6/19/2019,30128.96094,0
6/20/2019,30394.59961,0
6/21/2019,30321.86914,0
6/24/2019,30216.2793,0
6/25/2019,29927.08008,0
6/26/2019,29892.2207,0
6/27/2019,30069.41016,0
6/28/2019,30268.05078,0
7/1/2019,30485.46094,0
7/2/2019,30551.83008,0
7/3/2019,30794.65039,0
7/5/2019,30763.7207,0
7/8/2019,30598.14063,0
7/9/2019,30654.92969,0
7/10/2019,30785.65039,0
7/11/2019,30829.57031,0
7/12/2019,30984.92969,0
7/15/2019,30978.34961,0
7/16/2019,30884.21094,0
7/17/2019,30691.69922,0
7/18/2019,30788.50977,0
7/19/2019,30607.58008,0
7/22/2019,30687.68945,0
7/23/2019,30888.56055,0
7/24/2019,31086.14063,0
7/25/2019,30895.40039,0
7/26/2019,31146.51953,0
7/29/2019,31046.63086,0
7/30/2019,31005.35938,0
7/31/2019,30684.82031,0
8/1/2019,30376.89063,0
8/2/2019,30120.89063,0
8/5/2019,29213.53906,0
8/6/2019,29578.64063,0
8/7/2019,29605.83984,0
8/8/2019,30177.57031,0
8/9/2019,29945.65039,0
8/12/2019,29561.09961,0
8/13/2019,29979.51953,0
8/14/2019,29107.05078,0
8/15/2019,29156.38086,0
8/16/2019,29597.93945,0
8/19/2019,29938.93945,0
8/20/2019,29715.75,0
8/21/2019,29961.00977,0
8/22/2019,29936.82031,0
8/23/2019,29154.10938,0
8/26/2019,29461.43945,0
8/27/2019,29326.10938,0
8/28/2019,29523.63086,0
8/29/2019,29911.06055,0
8/30/2019,29925.34961,0
9/3/2019,29691.58008,0
9/4/2019,30014.28906,0
9/5/2019,30407.21094,0
9/6/2019,30398.67969,0
9/9/2019,30426.15039,0
9/10/2019,30467.94922,0
9/11/2019,30722.7207,0
9/12/2019,30785.63086,0
9/13/2019,30764.5,0
9/16/2019,30717.91992,0
9/17/2019,30780.63086,0
9/18/2019,30762.58008,0
9/19/2019,30750.09961,0
9/20/2019,30609.51953,0
9/23/2019,30606.5,0
9/24/2019,30302.32031,0
9/25/2019,30506.5,0
9/26/2019,30394.44922,0
9/27/2019,30204.05078,0
9/30/2019,30351.91992,0
10/1/2019,29815.98047,0
10/2/2019,29461.18945,0
10/3/2019,29698.58984,0
10/4/2019,30092.89063,0
10/7/2019,29976.5,0
10/8/2019,29504.89063,0
10/9/2019,29755.06055,0
10/10/2019,29924.41992,0
10/11/2019,30278.0293,0
10/14/2019,30225.69922,0
10/15/2019,30524.24023,0
10/16/2019,30450.92969,0
10/17/2019,30561.64063,0
10/18/2019,30432.73047,0
10/21/2019,30650.01953,0
10/22/2019,30544.80078,0
10/23/2019,30622.65039,0
10/24/2019,30699.53906,0
10/25/2019,30836.2207,0
10/28/2019,31009.26953,0
10/29/2019,30978.75977,0
10/30/2019,31062.98047,0
10/31/2019,30945.63086,0
11/1/2019,31267.17969,0
11/4/2019,31384.19922,0
11/5/2019,31351.53906,0
11/6/2019,31332.41016,0
11/7/2019,31417.25977,0
11/8/2019,31505.01953,0
11/11/2019,31447.58984,0
11/12/2019,31488.11914,0
11/13/2019,31497.25977,0
11/14/2019,31520.75,0
11/15/2019,31751.88086,0
11/18/2019,31760.49023,0
11/19/2019,31769.09961,0
11/20/2019,31665.88086,0
11/21/2019,31607.11914,0
11/22/2019,31679.2207,0
11/25/2019,31960.19922,0
11/26/2019,32028.64063,0
11/27/2019,32167.24023,0
11/29/2019,32025.85938,0
12/2/2019,31735.41992,0
12/3/2019,31540.68945,0
12/4/2019,31727.96094,0
12/5/2019,31757.92969,0
12/6/2019,32038.98047,0
12/9/2019,31949.19922,0
12/10/2019,31921.94922,0
12/11/2019,32001.43945,0
12/12/2019,32258.86914,0
12/13/2019,32241.16016,0
12/16/2019,32479.24023,0
12/17/2019,32503.67969,0
12/18/2019,32508.33008,0
12/19/2019,32654.28906,0
12/20/2019,32811.23047,0
12/23/2019,32840.60938,0
12/24/2019,32844.53906,0
12/26/2019,33006.66016,0
12/27/2019,32976.82031,0
12/30/2019,32788.76172,0
12/31/2019,32886.73828,0
1/2/2020,33142.19922,0
1/3/2020,32943.32813,0
1/6/2020,33065.14063,0
1/7/2020,32988.51953,0
1/8/2020,33134.98828,0
1/9/2020,33333.21094,0
1/10/2020,33237.14844,0
1/13/2020,33487.08984,0
1/14/2020,33469.83984,0
1/15/2020,33534.14844,0
1/16/2020,33827.73828,0
1/17/2020,33917.37891,0
1/21/2020,33817.58984,0
1/22/2020,33828.62891,0
1/23/2020,33862.46875,0
1/24/2020,33539.55859,0
1/27/2020,33028.76172,0
1/28/2020,33357.51953,0
1/29/2020,33322.07813,0
1/30/2020,33418.14844,0
1/31/2020,32838.19141,0
2/3/2020,33099.01953,0
2/4/2020,33609.67969,0
2/5/2020,33923.80078,0
2/6/2020,34012.21094,0
2/7/2020,33827.98047,0
2/10/2020,34070.17969,0
2/11/2020,34170.94922,0
2/12/2020,34403.23828,0
2/13/2020,34369.85156,0
2/14/2020,34428.33984,0
2/18/2020,34363.17188,0
2/19/2020,34533.94141,0
2/20/2020,34434.66016,0
2/21/2020,34066.28125,0
2/24/2020,32937.51953,0
2/25/2020,31921.68945,0
2/26/2020,31741.78906,0
2/27/2020,30385.63086,0
2/28/2020,30125.07031,0
3/2/2020,31416.39063,0
3/3/2020,30571.00977,0
3/4/2020,31783.7793,0
3/5/2020,30719.90039,0
3/6/2020,30157.91016,0
3/9/2020,27774.99023,0
3/10/2020,29088.0293,0
