Date,Adj Close (^GSPC),Volume (^GSPC)
1/2/2019,2510.030029,3733160000
1/3/2019,2447.889893,3822860000
1/4/2019,2531.939941,4213410000
1/7/2019,2549.689941,4104710000
1/8/2019,2574.409912,4083030000
1/9/2019,2584.959961,4052480000
1/10/2019,2596.639893,3704500000
1/11/2019,2596.26001,3434490000
1/14/2019,2582.610107,3664450000
1/15/2019,2610.300049,3572330000
1/16/2019,2616.100098,3863770000
1/17/2019,2635.959961,3772270000
1/18/2019,2670.709961,3986730000
1/22/2019,2632.899902,3908030000
1/23/2019,2638.699951,3335610000
1/24/2019,2642.330078,3433250000
1/25/2019,2664.76001,3814080000
1/28/2019,2643.850098,3612810000
1/29/2019,2640,3504200000
1/30/2019,2681.050049,3867810000
1/31/2019,2704.100098,4917650000
2/1/2019,2706.530029,3759270000
2/4/2019,2724.870117,3359840000
2/5/2019,2737.699951,3560430000
2/6/2019,2731.610107,3472690000
2/7/2019,2706.050049,4099490000
2/8/2019,2707.879883,3622330000
2/11/2019,2709.800049,3361970000
2/12/2019,2744.72998,3827770000
2/13/2019,2753.030029,3670770000
2/14/2019,2745.72998,3836700000
2/15/2019,2775.600098,3641370000
2/19/2019,2779.76001,3533710000
2/20/2019,2784.699951,3835450000
2/21/2019,2774.879883,3559710000
2/22/2019,2792.669922,3427810000
2/25/2019,2796.110107,3804380000
2/26/2019,2793.899902,3645680000
2/27/2019,2792.379883,3767130000
2/28/2019,2784.48999,4396930000
3/1/2019,2803.689941,3972280000
3/4/2019,2792.810059,3919810000
3/5/2019,2789.649902,3585690000
3/6/2019,2771.449951,3786600000
3/7/2019,2748.929932,3904860000
3/8/2019,2743.070068,3423130000
3/11/2019,2783.300049,3749030000
3/12/2019,2791.52002,3414230000
3/13/2019,2810.919922,3766150000
3/14/2019,2808.47998,3469730000
3/15/2019,2822.47998,5962730000
3/18/2019,2832.939941,3552190000
3/19/2019,2832.570068,3620220000
3/20/2019,2824.22998,3771200000
3/21/2019,2854.879883,3546800000
3/22/2019,2800.709961,4237200000
3/25/2019,2798.360107,3376580000
3/26/2019,2818.459961,3266050000
3/27/2019,2805.370117,3372930000
3/28/2019,2815.439941,3158170000
3/29/2019,2834.399902,3740700000
4/1/2019,2867.189941,3500760000
4/2/2019,2867.23999,3246900000
4/3/2019,2873.399902,3550240000
4/4/2019,2879.389893,3015180000
4/5/2019,2892.73999,3146820000
4/8/2019,2895.77002,3054030000
4/9/2019,2878.199951,3007980000
4/10/2019,2888.209961,3062380000
4/11/2019,2888.320068,2938540000
4/12/2019,2907.409912,3688490000
4/15/2019,2905.580078,3088330000
4/16/2019,2907.060059,3402210000
4/17/2019,2900.449951,3602300000
4/18/2019,2905.030029,3506850000
4/22/2019,2907.969971,2997950000
4/23/2019,2933.679932,3635030000
4/24/2019,2927.25,3448960000
4/25/2019,2926.169922,3425280000
4/26/2019,2939.879883,3248500000
4/29/2019,2943.030029,3118780000
4/30/2019,2945.830078,3919330000
5/1/2019,2923.72998,3645850000
5/2/2019,2917.52002,3778890000
5/3/2019,2945.639893,3338120000
5/6/2019,2932.469971,3181520000
5/7/2019,2884.050049,3767100000
5/8/2019,2879.419922,3485790000
5/9/2019,2870.719971,3638820000
5/10/2019,2881.399902,3529600000
5/13/2019,2811.870117,3894030000
5/14/2019,2834.409912,3322720000
5/15/2019,2850.959961,3125950000
5/16/2019,2876.320068,3338060000
5/17/2019,2859.530029,3257950000
5/20/2019,2840.22998,3288870000
5/21/2019,2864.360107,3218700000
5/22/2019,2856.27002,3192510000
5/23/2019,2822.23999,3891980000
5/24/2019,2826.060059,2887390000
5/28/2019,2802.389893,4121410000
5/29/2019,2783.02002,3700050000
