key_0,Adj Close (^GSPC),DGS10 [%],T10YIE[%],Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 ,Initial unemployment claims (Seasonally adjusted),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon)
2019-07-21,2976.610107,2.05,1.8,0,0,0,216000,2.833,3.044
2019-07-22,2985.030029,2.05,1.79,0,0,0,216000,2.833,3.044
2019-07-23,3005.469971,2.08,1.81,0,0,0,216000,2.798,3.034
2019-07-24,3019.560059,2.05,1.79,0,0,0,216000,2.798,3.034
2019-07-25,3003.669922,2.08,1.8,0,0,0,216000,2.798,3.034
2019-07-26,3025.860107,2.08,1.78,0,0,0,216000,2.798,3.034
2019-07-27,3025.860107,2.08,1.78,0,0,0,216000,2.798,3.034
2019-07-28,3025.860107,2.08,1.78,0,0,0,214000,2.798,3.034
2019-07-29,3020.969971,2.06,1.77,0,0,0,214000,2.798,3.034
2019-07-30,3013.179932,2.06,1.78,0,0,0,214000,2.772,3.032
2019-07-31,2980.379883,2.02,1.76,0,0,0,214000,2.772,3.032
2019-08-01,2953.560059,1.9,1.7,0,0,0,214000,2.772,3.032
2019-08-02,2932.050049,1.86,1.66,0,0,0,214000,2.772,3.032
2019-08-03,2932.050049,1.86,1.66,0,0,0,214000,2.772,3.032
2019-08-04,2932.050049,1.86,1.66,0,0,0,218000,2.772,3.032
2019-08-05,2844.73999,1.75,1.6,0,0,0,218000,2.772,3.032
2019-08-06,2881.77002,1.73,1.62,0,0,0,218000,2.71,3.011
2019-08-07,2883.97998,1.71,1.62,0,0,0,218000,2.71,3.011
2019-08-08,2938.090088,1.72,1.65,0,0,0,218000,2.71,3.011
2019-08-09,2918.649902,1.74,1.66,0,0,0,218000,2.71,3.011
2019-08-10,2918.649902,1.74,1.66,0,0,0,218000,2.71,3.011
2019-08-11,2918.649902,1.74,1.66,0,0,0,215000,2.71,3.011
2019-08-12,2882.699951,1.65,1.61,0,0,0,215000,2.71,3.011
2019-08-13,2926.320068,1.68,1.63,0,0,0,215000,2.684,2.994
2019-08-14,2840.600098,1.59,1.57,0,0,0,215000,2.684,2.994
2019-08-15,2847.600098,1.52,1.54,0,0,0,215000,2.684,2.994
2019-08-16,2888.679932,1.55,1.54,0,0,0,215000,2.684,2.994
2019-08-17,2888.679932,1.55,1.54,0,0,0,215000,2.684,2.994
2019-08-18,2888.679932,1.55,1.54,0,0,0,215000,2.684,2.994
2019-08-19,2923.649902,1.6,1.56,0,0,0,215000,2.684,2.994
2019-08-20,2900.51001,1.55,1.53,0,0,0,215000,2.661,2.983
2019-08-21,2924.429932,1.59,1.54,0,0,0,215000,2.661,2.983
2019-08-22,2922.949951,1.62,1.55,0,0,0,215000,2.661,2.983
2019-08-23,2847.110107,1.52,1.54,0,0,0,215000,2.661,2.983
2019-08-24,2847.110107,1.52,1.54,0,0,0,215000,2.661,2.983
2019-08-25,2847.110107,1.52,1.54,0,0,0,219000,2.661,2.983
2019-08-26,2878.379883,1.54,1.54,0,0,0,219000,2.661,2.983
2019-08-27,2869.159912,1.49,1.55,0,0,0,219000,2.651,2.976
2019-08-28,2887.939941,1.47,1.55,0,0,0,219000,2.651,2.976
2019-08-29,2924.580078,1.5,1.59,0,0,0,219000,2.651,2.976
2019-08-30,2926.459961,1.5,1.55,0,0,0,219000,2.651,2.976
2019-08-31,2926.459961,1.5,1.55,0,0,0,219000,2.651,2.976
2019-09-01,2926.459961,1.5,1.55,0,0,0,208000,2.651,2.976
2019-09-02,2926.459961,1.5,1.55,0,0,0,208000,2.651,2.976
2019-09-03,2906.27002,1.47,1.5,0,0,0,208000,2.638,2.971
2019-09-04,2937.780029,1.47,1.51,0,0,0,208000,2.638,2.971
2019-09-05,2976,1.57,1.56,0,0,0,208000,2.638,2.971
2019-09-06,2978.709961,1.55,1.54,0,0,0,208000,2.638,2.971
2019-09-07,2978.709961,1.55,1.54,0,0,0,208000,2.638,2.971
2019-09-08,2978.709961,1.55,1.54,0,0,0,211000,2.638,2.971
2019-09-09,2978.429932,1.63,1.57,0,0,0,211000,2.638,2.971
2019-09-10,2979.389893,1.72,1.6,0,0,0,211000,2.64,2.987
2019-09-11,3000.929932,1.75,1.6,0,0,0,211000,2.64,2.987
2019-09-12,3009.570068,1.79,1.63,0,0,0,211000,2.64,2.987
2019-09-13,3007.389893,1.9,1.67,0,0,0,211000,2.64,2.987
2019-09-14,3007.389893,1.9,1.67,0,0,0,211000,2.64,2.987
2019-09-15,3007.389893,1.9,1.67,0,0,0,215000,2.64,2.987
2019-09-16,2997.959961,1.84,1.67,0,0,0,215000,2.64,2.987
2019-09-17,3005.699951,1.81,1.66,0,0,0,215000,2.741,3.081
2019-09-18,3006.72998,1.8,1.59,0,0,0,215000,2.741,3.081
2019-09-19,3006.790039,1.79,1.61,0,0,0,215000,2.741,3.081
2019-09-20,2992.070068,1.74,1.61,0,0,0,215000,2.741,3.081
2019-09-21,2992.070068,1.74,1.61,0,0,0,215000,2.741,3.081
2019-09-22,2992.070068,1.74,1.61,0,0,0,218000,2.741,3.081
2019-09-23,2991.780029,1.72,1.61,0,0,0,218000,2.741,3.081
2019-09-24,2966.600098,1.64,1.58,0,0,0,218000,2.737,3.066
2019-09-25,2984.870117,1.73,1.6,0,0,0,218000,2.737,3.066
2019-09-26,2977.620117,1.7,1.57,0,0,0,218000,2.737,3.066
2019-09-27,2961.790039,1.69,1.53,0,0,0,218000,2.737,3.066
2019-09-28,2961.790039,1.69,1.53,0,0,0,218000,2.737,3.066
2019-09-29,2961.790039,1.69,1.53,0,0,0,212000,2.737,3.066
2019-09-30,2976.73999,1.68,1.53,0,0,0,212000,2.737,3.066
2019-10-01,2940.25,1.65,1.52,0,0,0,212000,2.742,3.047
2019-10-02,2887.610107,1.6,1.5,0,0,0,212000,2.742,3.047
2019-10-03,2910.629883,1.54,1.48,0,0,0,212000,2.742,3.047
2019-10-04,2952.01001,1.52,1.5,0,0,0,212000,2.742,3.047
2019-10-05,2952.01001,1.52,1.5,0,0,0,212000,2.742,3.047
2019-10-06,2952.01001,1.52,1.5,0,0,0,218000,2.742,3.047
2019-10-07,2938.790039,1.56,1.51,0,0,0,218000,2.742,3.047
2019-10-08,2893.060059,1.54,1.48,0,0,0,218000,2.727,3.051
2019-10-09,2919.399902,1.59,1.49,0,0,0,218000,2.727,3.051
2019-10-10,2938.129883,1.67,1.52,0,0,0,218000,2.727,3.051
2019-10-11,2970.27002,1.76,1.56,0,0,0,218000,2.727,3.051
2019-10-12,2970.27002,1.76,1.56,0,0,0,218000,2.727,3.051
2019-10-13,2970.27002,1.76,1.56,0,0,0,213000,2.727,3.051
2019-10-14,2966.149902,1.76,1.56,0,0,0,213000,2.727,3.051
2019-10-15,2995.679932,1.77,1.56,0,0,0,213000,2.735,3.05
2019-10-16,2989.689941,1.75,1.57,0,0,0,213000,2.735,3.05
2019-10-17,2997.949951,1.76,1.59,0,0,0,213000,2.735,3.05
2019-10-18,2986.199951,1.76,1.6,0,0,0,213000,2.735,3.05
2019-10-19,2986.199951,1.76,1.6,0,0,0,213000,2.735,3.05
2019-10-20,2986.199951,1.76,1.6,0,0,0,217000,2.735,3.05
2019-10-21,3006.719971,1.8,1.61,0,0,0,217000,2.735,3.05
2019-10-22,2995.98999,1.78,1.61,0,0,0,217000,2.692,3.064
2019-10-23,3004.52002,1.77,1.61,0,0,0,217000,2.692,3.064
2019-10-24,3010.290039,1.77,1.62,0,0,0,217000,2.692,3.064
2019-10-25,3022.550049,1.8,1.65,0,0,0,217000,2.692,3.064
2019-10-26,3022.550049,1.8,1.65,0,0,0,217000,2.692,3.064
2019-10-27,3022.550049,1.8,1.65,0,0,0,212000,2.692,3.064
2019-10-28,3039.419922,1.85,1.64,0,0,0,212000,2.692,3.064
2019-10-29,3036.889893,1.84,1.61,0,0,0,212000,2.702,3.062
2019-10-30,3046.77002,1.78,1.57,0,0,0,212000,2.702,3.062
2019-10-31,3037.560059,1.69,1.54,0,0,0,212000,2.702,3.062
2019-11-01,3066.909912,1.73,1.59,0,0,0,212000,2.702,3.062
2019-11-02,3066.909912,1.73,1.59,0,0,0,212000,2.702,3.062
2019-11-03,3066.909912,1.73,1.59,0,0,0,222000,2.702,3.062
2019-11-04,3078.27002,1.79,1.64,0,0,0,222000,2.702,3.062
2019-11-05,3074.620117,1.86,1.68,0,0,0,222000,2.711,3.073
2019-11-06,3076.780029,1.81,1.66,0,0,0,222000,2.711,3.073
2019-11-07,3085.179932,1.92,1.69,0,0,0,222000,2.711,3.073
2019-11-08,3093.080078,1.94,1.71,0,0,0,222000,2.711,3.073
2019-11-09,3093.080078,1.94,1.71,0,0,0,222000,2.711,3.073
2019-11-10,3093.080078,1.94,1.71,0,0,0,223000,2.711,3.073
2019-11-11,3087.01001,1.94,1.71,0,0,0,223000,2.711,3.073
2019-11-12,3091.840088,1.92,1.7,0,0,0,223000,2.688,3.074
2019-11-13,3094.040039,1.88,1.66,0,0,0,223000,2.688,3.074
2019-11-14,3096.629883,1.82,1.62,0,0,0,223000,2.688,3.074
2019-11-15,3120.459961,1.84,1.63,0,0,0,223000,2.688,3.074
2019-11-16,3120.459961,1.84,1.63,0,0,0,223000,2.688,3.074
2019-11-17,3120.459961,1.84,1.63,0,0,0,211000,2.688,3.074
2019-11-18,3122.030029,1.81,1.63,0,0,0,211000,2.688,3.074
2019-11-19,3120.179932,1.79,1.63,0,0,0,211000,2.672,3.066
2019-11-20,3108.459961,1.73,1.6,0,0,0,211000,2.672,3.066
2019-11-21,3103.540039,1.77,1.63,0,0,0,211000,2.672,3.066
2019-11-22,3110.290039,1.77,1.62,0,0,0,211000,2.672,3.066
2019-11-23,3110.290039,1.77,1.62,0,0,0,211000,2.672,3.066
2019-11-24,3110.290039,1.77,1.62,0,0,0,206000,2.672,3.066
2019-11-25,3133.639893,1.76,1.62,0,0,0,206000,2.672,3.066
2019-11-26,3140.52002,1.74,1.62,0,0,0,206000,2.667,3.07
2019-11-27,3153.629883,1.77,1.63,0,0,0,206000,2.667,3.07
2019-11-28,3153.629883,1.77,1.63,0,0,0,206000,2.667,3.07
2019-11-29,3140.97998,1.78,1.61,0,0,0,206000,2.667,3.07
2019-11-30,3140.97998,1.78,1.61,0,0,0,206000,2.667,3.07
2019-12-01,3140.97998,1.78,1.61,0,0,0,237000,2.667,3.07
2019-12-02,3113.870117,1.83,1.65,0,0,0,237000,2.667,3.07
2019-12-03,3093.199951,1.72,1.63,0,0,0,237000,2.652,3.049
2019-12-04,3112.76001,1.77,1.66,0,0,0,237000,2.652,3.049
2019-12-05,3117.429932,1.8,1.67,0,0,0,237000,2.652,3.049
2019-12-06,3145.909912,1.84,1.69,0,0,0,237000,2.652,3.049
2019-12-07,3145.909912,1.84,1.69,0,0,0,237000,2.652,3.049
2019-12-08,3145.909912,1.84,1.69,0,0,0,229000,2.652,3.049
2019-12-09,3135.959961,1.83,1.69,0,0,0,229000,2.652,3.049
2019-12-10,3132.52002,1.85,1.71,0,0,0,229000,2.627,3.046
2019-12-11,3141.629883,1.79,1.69,0,0,0,229000,2.627,3.046
2019-12-12,3168.570068,1.9,1.72,0,0,0,229000,2.627,3.046
2019-12-13,3168.800049,1.82,1.7,0,0,0,229000,2.627,3.046
